RenSMART Solar Panel Comparison Table,,,,,,,,,,,
Product,Manufacturer,Width (mm),Height (mm),Area (Metre Squared),Watts per metre squared,Efficiency %,Technology,Peak Output (Watts),Peak Voltage (Volts),Peak Current (Amps),Maximum System Voltage (Volts)
NE-80EJEA ,Sharp,1200,537,0.64,124.15,12.41,Polycrystalline,80,21.6,4.63,600
NE-165UC1 ,Sharp,1575,826,1.3,126.83,12.68,Polycrystalline,165,34.6,4.77,600
NE-170UC1 ,Sharp,1575,826,1.3,130.67,13.07,Polycrystalline,170,34.8,4.9,600
ND-123UJF ,Sharp,1499,662,0.99,123.95,12.39,Polycrystalline,123,17.2,7.15,600
ND-130UJF ,Sharp,1499,662,0.99,131,13.1,Polycrystalline,130,17.4,7.5,600
ND-176UC1 ,Sharp,1328,994,1.32,133.33,13.33,Polycrystalline,176,23.42,7.52,600
ND-198UC1 ,Sharp,1491,994,1.48,133.6,13.36,Polycrystalline,198,26.3,7.52,600
ND-224UC1 ,Sharp,1640,994,1.63,137.41,13.74,Polycrystalline,224,29.3,7.66,600
NU-U230F3 ,Sharp,1640,994,1.63,141.09,14.11,Monocrystaline,230,30,7.67,600
NU-U235F1 ,Sharp,1640,994,1.63,144.16,14.42,Monocrystaline,235,30,8.4,600
NA-V115H5,Sharp,1409,1009,1.42,80.89,8.09,Thin Film,115,174,0.661,1000
NA-V121H5,Sharp,1409,1009,1.42,85.11,8.51,Thin Film,121,180,0.673,1000
NA-V128H5,Sharp,1409,1009,1.42,90.03,9,Thin Film,128,186,0.688,1000
NA-V142H5,Sharp,1409,1009,1.42,99.88,9.99,Thin Film,142,188,0.72,1000
NA-V135H5,Sharp,1409,1009,1.42,94.96,9.5,Thin Film,135,192,0.74,1000
KD210GH-2PU ,Kyocera,1500,990,1.49,141.41,14.14,Polycrystalline,210,26.6,7.9,1000
KD185GH-2PU,Kyocera,1338,990,1.32,139.66,13.97,Polycrystalline,185,23.6,7.84,1000
KD135GH-2PU,Kyocera,1500,668,1,134.73,13.47,Polycrystalline,135,17.7,7.63,1000
KD135SX-1PU,Kyocera,1500,668,1,134.73,13.47,Polycrystalline,135,17.7,7.63,750
KD95SX-1P,Kyocera,1043,660,0.69,138.01,13.8,Polycrystalline,95,17.9,5.31,750
KD70SX-1P,Kyocera,778,660,0.51,136.32,13.63,Polycrystalline,70,17.9,3.92,750
KD50SE-1P,Kyocera,706,744,0.53,95.19,9.52,Polycrystalline,50,17.9,2.8,750
KC16T,Kyocera,517,280,0.14,110.53,11.05,Polycrystalline,16,17.4,0.93,50
KC21T,Kyocera,367,512,0.19,111.76,11.18,Polycrystalline,21,17.4,1.12,50
KC32T,Kyocera,517,512,0.26,120.89,12.09,Polycrystalline,32,17.4,1.84,50
BP350J  ,BP Solar,839,537,0.45,110.98,11.1,Polycrystalline,50,17.5,2.9,600
BP380J ,BP Solar,1209,537,0.65,123.22,12.32,Polycrystalline,80,17.6,4.6,600
BP3160N ,BP Solar,1593,790,1.26,127.14,12.71,Polycrystalline,160,35.1,4.55,1000
BP3170N,BP Solar,1593,790,1.26,135.08,13.51,Polycrystalline,170,35.5,4.8,1000
 BP4175N ,BP Solar,1593,790,1.26,139.06,13.91,Polycrystalline,175,35.4,4.9,1000
 BP4175T,BP Solar,1587,790,1.25,139.58,13.96,Polycrystalline,175,35.4,4.9,1000
SX-305M  ,BP Solar,269,251,0.07,74.05,7.41,Polycrystalline,5,16.5,0.27,50
SX-310J ,BP Solar,425,273,0.12,86.19,8.62,Polycrystalline,10,16.8,0.59,50
SX-320U ,BP Solar,502,425,0.21,93.74,9.37,Polycrystalline,20,16.8,1.19,50
SX-330U ,BP Solar,595,502,0.3,100.44,10.04,Polycrystalline,30,16.8,1.78,50
PowerGlaz RG-SMT5(36)M  ,Romag,1197,530,0.63,130.83,13.08,Monocrystalline,83,18.1,4.6,1000
PowerGlaz RG-SMT6(48)P 648185,Romag,1318,994,1.31,141.21,14.12,Polycrystalline,185,24.5,7.7,1000
PowerGlaz RG-SMT6(48)P 648180,Romag,1318,994,1.31,137.39,13.74,Polycrystalline,180,23.9,7.6,1000
PowerGlaz RG-SMT6(48)P 648175,Romag,1318,994,1.31,133.58,13.36,Polycrystalline,175,23.5,7.5,1000
PowerGlaz RG-SMT6(48)P 648170,Romag,1318,994,1.31,129.76,12.98,Polycrystalline,170,23.1,7.4,1000
PowerGlaz RG-SMT6(48)P 648165,Romag,1318,994,1.31,125.95,12.59,Polycrystalline,165,22.5,7.4,1000
PowerGlaz RG-SMT6(48)P 648160,Romag,1318,994,1.31,122.13,12.21,Polycrystalline,160,21.9,7.31,1000
PowerGlaz RG-SMT6(54)P 654210,Romag,1482,994,1.47,142.56,14.26,Polycrystalline,210,27.54,7.6,1000
PowerGlaz RG-SMT6(54)P 654200,Romag,1482,994,1.47,135.77,13.58,Polycrystalline,200,26.91,7.5,1000
PowerGlaz RG-SMT6(54)P 654195,Romag,1482,994,1.47,132.37,13.24,Polycrystalline,195,26.35,7.4,1000
PowerGlaz RG-SMT6(54)P 654190,Romag,1482,994,1.47,128.98,12.9,Polycrystalline,190,26.03,7.3,1000
PowerGlaz RG-SMT6(60)P 660235,Romag,1640,994,1.63,144.16,14.42,Polycrystalline,235,30.6,7.7,1000
PowerGlaz RG-SMT6(60)P 660230,Romag,1640,994,1.63,141.09,14.11,Polycrystalline,230,30.3,7.6,1000
PowerGlaz RG-SMT6(60)P 660225,Romag,1640,994,1.63,138.02,13.8,Polycrystalline,225,29.9,7.5,1000
PowerGlaz RG-SMT6(60)P 660220,Romag,1640,994,1.63,134.96,13.5,Polycrystalline,220,29.4,7.5,1000
PowerGlaz RG-SMT6(60)P 660210,Romag,1640,994,1.63,128.82,12.88,Polycrystalline,210,28.4,7.4,1000
PowerGlaz RG-SMT6(60)P 660205,Romag,1640,994,1.63,125.75,12.58,Polycrystalline,205,27.9,7.3,1000
HIT-240HDE4,Sanyo,1610,861,1.39,173.13,17.31,HIT,240,35.5,6.77,1000
HIT-235HDE4,Sanyo,1610,861,1.39,169.53,16.95,HIT,235,35.1,6.7,1000
HIT-205DNKHE1,Sanyo,1630,862,1.41,145.9,14.59,HIT,205,41.3,4.97,1000
HIT-200DNKHE1,Sanyo,1630,862,1.41,142.34,14.23,HIT,200,40.7,4.92,1000
HIT-N220E01,Sanyo,1580,798,1.26,174.49,17.45,HIT,220,41.6,5.31,1000
HIT-N215E01,Sanyo,1580,798,1.26,170.52,17.05,HIT,215,40.9,5.27,1000
Imerys Roof Tile,Imerys,1377,475,0.65,84.09,8.41,Polycrystalline,55,0,0,0
SCHOTT POLY 225,Schott,1685,993,1.67,134.47,13.45,Polycrystalline,225,29.8,7.55,600
SCHOTT POLY 220,Schott,1685,993,1.67,131.48,13.15,Polycrystalline,220,29.7,7.41,600
SCHOTT POLY 217,Schott,1685,993,1.67,129.69,12.97,Polycrystalline,217,29.6,7.33,600
SCHOTT POLY 210,Schott,1685,993,1.67,125.51,12.55,Polycrystalline,210,29.3,7.16,600
